run_id,scenario,transport,filesize,domain,resolved_ip,path,dns_time_s,dns_retries,http_time_s,total_time_s,bytes,throughput_mbps,retransmissions,status,auth_ok,ok,timestamp
10,A,rudp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020649754999794823,0,6.535892464999961,6.556952057000672,1048576,1.283467872967835,0,HTTP/1.1 200 OK,True,True,1782073074.7749043
1,A,tcp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.020613070999388583,0,2.4502145680007743,2.4750478870000734,10485760,34.23621796047271,0,HTTP/1.1 200 OK,True,True,1782073077.6276832
2,A,tcp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.02065821100040921,0,2.9663235950001763,2.9912616290002916,10485760,28.279477040668255,0,HTTP/1.1 200 OK,True,True,1782073080.8713098
3,A,tcp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.020841491999817663,0,2.762271708999833,2.787542107000263,10485760,30.368511441755878,0,HTTP/1.1 200 OK,True,True,1782073083.9500241
4,A,tcp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.020669505999649118,0,2.645170319000499,2.6707983010001044,10485760,31.712921998798585,0,HTTP/1.1 200 OK,True,True,1782073086.937338
5,A,tcp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.020580568000696076,0,2.6025040430004083,2.62728976300059,10485760,32.232833691696534,0,HTTP/1.1 200 OK,True,True,1782073089.835378
6,A,tcp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.020873858999948425,0,2.5816221510003743,2.6069795169996723,10485760,32.49355447600815,0,HTTP/1.1 200 OK,True,True,1782073092.7213297
7,A,tcp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.020412984999893524,0,2.5745629659995757,2.5993637850006053,10485760,32.58264843696731,0,HTTP/1.1 200 OK,True,True,1782073095.5930216
8,A,tcp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.02056976600033522,0,2.6295286730000953,2.6545933460001834,10485760,31.901565045226246,0,HTTP/1.1 200 OK,True,True,1782073098.5082414
9,A,tcp,10mb,webserver.redes2.local,172.28.0.10,/file_10mb.bin,0.02114919700034079,0,2.6717580210006417,2.6972295929999746,10485760,31.397334392050414,0,HTTP/1.1 200 OK,True,True,1782073101.4605792
